machineid;timestamp;isdisturbed
G352-2114;2020-08-01 08:14:16.93+00;False
G352-2125;2020-05-30 06:47:16.808+00;False
G352-2125;2020-06-02 03:23:32.549+00;True
G352-2125;2020-06-02 03:23:41.565+00;False
G352-2125;2020-06-02 03:52:34.942+00;True
G352-2125;2020-06-02 03:52:57.053+00;False
G352-2125;2020-06-02 12:34:46.295+00;True
G352-2125;2020-06-02 12:34:55.217+00;False
G352-2125;2020-06-02 12:35:08.42+00;True
G352-2125;2020-06-02 12:35:12.827+00;False
G352-2125;2020-06-02 12:35:30.358+00;True
G352-2125;2020-06-02 12:35:34.811+00;False
G352-2125;2020-06-02 12:35:43.546+00;True
G352-2125;2020-06-02 12:35:47.999+00;False
G352-2125;2020-06-02 12:40:16.943+00;True
G352-2125;2020-06-02 12:40:25.787+00;False
G352-2125;2020-06-02 13:12:34.518+00;True
G352-2125;2020-06-02 13:18:35.949+00;False
G352-2125;2020-06-02 18:48:19.209+00;True
G352-2125;2020-06-02 18:48:28.053+00;False
G352-2125;2020-06-03 13:59:05.287+00;True
G352-2125;2020-06-03 13:59:09.709+00;False
G352-2125;2020-06-08 04:58:09.42+00;True
G352-2125;2020-06-08 05:00:11.612+00;False
G352-2125;2020-06-08 05:00:16.034+00;True
G352-2125;2020-06-08 05:00:47.675+00;False
G352-2125;2020-06-08 05:00:52.05+00;True
G352-2125;2020-06-08 05:01:20.351+00;False
G352-2125;2020-06-08 05:01:24.788+00;True
G352-2125;2020-06-08 05:04:14.123+00;False
G352-2125;2020-06-09 11:16:21.918+00;True
G352-2125;2020-06-09 11:16:28.762+00;False
G352-2125;2020-06-09 11:36:19.74+00;True
G352-2125;2020-06-09 11:36:26.71+00;False
G352-2125;2020-06-09 12:47:16.112+00;True
G352-2125;2020-06-09 12:47:21.847+00;False
G352-2125;2020-06-09 14:35:07.142+00;True
G352-2125;2020-06-09 14:39:26.546+00;False
G352-2125;2020-06-09 14:42:23.5+00;True
G352-2125;2020-06-09 14:42:30.296+00;False
G352-2125;2020-06-10 05:49:20.274+00;True
G352-2125;2020-06-10 05:49:27.118+00;False
G352-2125;2020-06-10 06:01:43.316+00;True
G352-2125;2020-06-10 06:01:52.29+00;False
G352-2125;2020-06-10 08:48:23.721+00;True
G352-2125;2020-06-10 08:48:30.565+00;False
G352-2125;2020-06-10 13:28:25.96+00;True
G352-2125;2020-06-10 13:28:32.745+00;False
G352-2125;2020-06-10 13:38:27.712+00;True
G352-2125;2020-06-10 13:38:34.478+00;False
G352-2125;2020-06-10 13:38:41.306+00;True
G352-2125;2020-06-10 13:39:36.728+00;False
G352-2125;2020-06-10 13:46:01.652+00;True
G352-2125;2020-06-10 13:46:07.371+00;False
G352-2125;2020-06-10 14:11:45.145+00;True
G352-2125;2020-06-10 14:15:28.659+00;False
G352-2125;2020-06-10 15:06:51.667+00;True
G352-2125;2020-06-10 15:06:58.511+00;False
G352-2125;2020-06-16 05:25:14.93+00;True
G352-2125;2020-06-16 05:25:20.326+00;False
G352-2125;2020-06-16 05:40:20.353+00;True
G352-2125;2020-06-16 05:40:26.931+00;False
G352-2125;2020-06-16 05:41:17.946+00;True
G352-2125;2020-06-16 05:41:20.946+00;False
G352-2125;2020-06-16 05:57:07.964+00;True
G352-2125;2020-06-16 05:57:15.557+00;False
G352-2125;2020-06-22 04:03:51.253+00;True
G352-2125;2020-06-22 04:17:44.73+00;False
G352-2125;2020-06-22 05:32:37.074+00;True
G352-2125;2020-06-22 05:32:50.918+00;False
G352-2125;2020-06-22 05:34:40.934+00;True
G352-2125;2020-06-22 05:34:47.654+00;False
G352-2125;2020-06-22 05:36:01.418+00;True
G352-2125;2020-06-22 05:36:11.545+00;False
G352-2125;2020-06-22 05:42:18.673+00;True
G352-2125;2020-06-22 05:42:22.08+00;False
G352-2125;2020-06-22 05:42:32.017+00;True
G352-2125;2020-06-22 05:42:35.41+00;False
G352-2125;2020-06-22 11:22:52.836+00;True
G352-2125;2020-06-22 11:22:59.789+00;False
G352-2125;2020-06-22 11:31:50.934+00;True
G352-2125;2020-06-22 11:31:57.887+00;False
G352-2125;2020-06-22 11:57:29.1+00;True
G352-2125;2020-06-22 11:57:32.475+00;False
G352-2125;2020-06-22 12:02:42.085+00;True
G352-2125;2020-06-22 12:02:45.46+00;False
G352-2125;2020-06-22 12:11:17.499+00;True
G352-2125;2020-06-22 12:11:20.921+00;False
G352-2125;2020-06-22 12:37:00.313+00;True
G352-2125;2020-06-22 12:37:07+00;False
G352-2125;2020-06-22 12:59:07.021+00;True
G352-2125;2020-06-22 12:59:10.396+00;False
G352-2125;2020-06-23 08:55:57.461+00;True
G352-2125;2020-06-23 08:56:07.742+00;False
G352-2125;2020-06-24 05:05:57.907+00;True
G352-2125;2020-06-24 05:06:15.876+00;False
G352-2125;2020-06-24 05:50:59.686+00;True
G352-2125;2020-06-24 05:51:07.654+00;False
G352-2125;2020-06-29 14:05:39.93+00;True
G352-2125;2020-06-29 14:05:53.68+00;False
G352-2125;2020-06-29 14:25:11.856+00;True
G352-2125;2020-06-29 14:25:18.512+00;False
G352-2125;2020-06-29 14:29:46.529+00;True
G352-2125;2020-06-29 14:29:52.201+00;False
G352-2125;2020-06-29 14:37:25.609+00;True
G352-2125;2020-06-29 14:37:32.312+00;False
G352-2125;2020-06-30 06:21:01.909+00;True
G352-2125;2020-06-30 06:21:54.97+00;False
G352-2125;2020-06-30 06:46:05.359+00;True
G352-2125;2020-06-30 06:46:19.412+00;False
G352-2125;2020-06-30 06:56:56.263+00;True
G352-2125;2020-06-30 06:57:12.844+00;False
G352-2125;2020-06-30 07:20:49.664+00;True
G352-2125;2020-06-30 07:21:06.431+00;False
G352-2125;2020-06-30 07:38:56.783+00;True
G352-2125;2020-06-30 07:39:13.594+00;False
G352-2125;2020-06-30 07:40:17.002+00;True
G352-2125;2020-06-30 07:40:46.985+00;False
G352-2125;2020-07-01 08:26:13.737+00;True
G352-2125;2020-07-01 08:26:34.001+00;False
G352-2125;2020-07-06 04:02:29.705+00;True
G352-2125;2020-07-06 04:36:57.809+00;False
G352-2125;2020-07-06 04:37:17.071+00;True
G352-2125;2020-07-06 04:44:00.398+00;False
G352-2125;2020-07-06 04:44:17.5+00;True
G352-2125;2020-07-06 04:53:09.827+00;False
G352-2125;2020-07-06 05:09:17.647+00;True
G352-2125;2020-07-06 05:13:09.097+00;False
G352-2125;2020-07-06 05:13:19.706+00;True
G352-2125;2020-07-06 05:23:46.141+00;False
G352-2125;2020-07-06 05:24:43.952+00;True
G352-2125;2020-07-06 05:28:23.829+00;False
G352-2125;2020-07-06 05:55:04.608+00;True
G352-2125;2020-07-06 05:55:16.365+00;False
G352-2125;2020-07-06 05:55:52.459+00;True
G352-2125;2020-07-06 05:56:03.437+00;False
G352-2125;2020-07-06 06:50:49.998+00;True
G352-2125;2020-07-06 06:55:38.25+00;False
G352-2125;2020-07-06 09:03:31.736+00;True
G352-2125;2020-07-06 09:03:45.43+00;False
G352-2125;2020-07-07 11:18:38.882+00;True
G352-2125;2020-07-07 11:18:52.085+00;False
G352-2125;2020-07-07 11:19:05.206+00;True
G352-2125;2020-07-07 11:19:17.279+00;False
G352-2125;2020-07-07 11:24:58.622+00;True
G352-2125;2020-07-07 11:25:10.684+00;False
G352-2125;2020-07-07 11:59:30.236+00;True
G352-2125;2020-07-07 11:59:45.037+00;False
G352-2125;2020-07-07 12:42:34.718+00;True
G352-2125;2020-07-07 12:42:48.952+00;False
G352-2125;2020-07-07 12:44:13.641+00;True
G352-2125;2020-07-07 12:44:27.13+00;False
G352-2125;2020-07-08 10:48:52.496+00;True
G352-2125;2020-07-08 10:49:06.233+00;False
G352-2125;2020-07-08 11:31:50.091+00;True
G352-2125;2020-07-08 11:32:04.767+00;False
G352-2125;2020-07-08 11:42:20.09+00;True
G352-2125;2020-07-08 11:42:33.387+00;False
G352-2125;2020-07-08 11:43:02.076+00;True
G352-2125;2020-07-08 11:43:16.906+00;False
G352-2125;2020-07-13 04:46:46.866+00;True
G352-2125;2020-07-13 05:02:39.613+00;False
G352-2125;2020-07-13 06:22:07.969+00;True
G352-2125;2020-07-13 06:22:23.972+00;False
G352-2125;2020-07-13 06:22:39.767+00;True
G352-2125;2020-07-13 06:24:00.952+00;False
G352-2125;2020-07-13 06:34:02.321+00;True
G352-2125;2020-07-13 06:35:07.212+00;False
G352-2125;2020-07-13 06:35:38.946+00;True
G352-2125;2020-07-13 06:36:43.647+00;False
G352-2125;2020-07-13 06:36:59.429+00;True
G352-2125;2020-07-13 07:33:39.444+00;False
G352-2125;2020-07-13 08:34:05.345+00;True
G352-2125;2020-07-13 08:34:23.408+00;False
G352-2125;2020-07-14 08:39:20.889+00;True
G352-2125;2020-07-14 08:39:37.631+00;False
G352-2125;2020-07-14 08:52:27.335+00;True
G352-2125;2020-07-14 08:53:50.497+00;False
