machineid;timestamp;mode
G352-2114;2020-08-03 06:17:31.483+00;JOG - Manual
G352-2114;2020-08-03 06:50:06.565+00;Automatic
G352-2114;2020-08-03 08:31:40.237+00;JOG - Manual
G352-2114;2020-08-03 08:31:44.721+00;Automatic
G352-2114;2020-08-03 08:34:16.319+00;JOG - Manual
G352-2114;2020-08-03 08:34:24.727+00;Automatic
G352-2114;2020-08-03 09:11:23.141+00;JOG - Manual
G352-2114;2020-08-03 09:11:55.146+00;Automatic
G352-2114;2020-08-03 09:12:40.422+00;JOG - Manual
G352-2114;2020-08-03 09:12:48.552+00;Automatic
G352-2114;2020-08-04 12:44:54.473+00;JOG - Manual
G352-2114;2020-08-04 12:45:16.399+00;Automatic
G352-2114;2020-08-04 12:51:06.772+00;JOG - Manual
G352-2114;2020-08-04 12:51:16.544+00;Automatic
G352-2114;2020-08-04 13:22:36.4+00;JOG - Manual
G352-2114;2020-08-04 13:22:40.332+00;Automatic
G352-2114;2020-08-04 13:22:52.99+00;JOG - Manual
G352-2114;2020-08-04 13:22:56.944+00;Automatic
G352-2114;2020-08-04 13:54:38.169+00;JOG - Manual
G352-2114;2020-08-04 13:55:15.292+00;Automatic
G352-2114;2020-08-06 07:33:19.171+00;JOG - Manual
G352-2114;2020-08-06 07:51:49.507+00;Automatic
G352-2114;2020-08-06 11:33:28.746+00;JOG - Manual
G352-2114;2020-08-06 11:33:52.893+00;Automatic
G352-2114;2020-08-06 14:06:32.376+00;JOG - Manual
G352-2114;2020-08-25 06:49:46.376+00;Automatic
G352-2114;2020-08-25 06:54:12.888+00;JOG - Manual
G352-2114;2020-08-25 07:04:32.876+00;Automatic
G352-2114;2020-08-25 07:04:39.706+00;JOG - Manual
G352-2114;2020-08-25 07:04:41.588+00;Automatic
G352-2114;2020-08-26 09:08:24.287+00;JOG - Manual
G352-2114;2020-08-26 09:11:56.748+00;Automatic
G352-2114;2020-08-26 09:17:56.598+00;JOG - Manual
G352-2114;2020-08-26 09:27:56.944+00;Automatic
G352-2114;2020-08-26 09:28:28.574+00;JOG - Manual
G352-2114;2020-08-26 10:03:30.207+00;Automatic
G352-2114;2020-08-26 11:38:04.416+00;JOG - Manual
G352-2114;2020-08-26 11:39:08.835+00;Automatic
G352-2114;2020-08-26 11:42:53.79+00;JOG - Manual
G352-2114;2020-08-26 12:14:51.672+00;Automatic
G352-2114;2020-08-26 12:35:45.064+00;JOG - Manual
G352-2114;2020-08-26 12:36:15.234+00;Automatic
G352-2114;2020-08-27 11:57:38.92+00;JOG - Manual
G352-2114;2020-08-27 12:01:30.512+00;Automatic
G352-2114;2020-08-27 12:09:55.212+00;JOG - Manual
G352-2114;2020-08-27 12:11:20.643+00;Automatic
G352-2114;2020-08-27 12:14:08.524+00;JOG - Manual
G352-2114;2020-08-27 12:14:28.443+00;Automatic
G352-2114;2020-08-27 12:14:47.168+00;JOG - Manual
G352-2114;2020-08-27 12:16:03.798+00;Automatic
G352-2114;2020-08-27 12:16:44.942+00;JOG - Manual
G352-2114;2020-08-27 12:18:01.389+00;Automatic
G352-2114;2020-08-27 12:18:24.989+00;JOG - Manual
G352-2114;2020-08-27 12:19:09.029+00;Automatic
G352-2114;2020-08-27 12:23:48.979+00;JOG - Manual
G352-2114;2020-08-27 12:27:02.878+00;Automatic
G352-2114;2020-08-27 12:44:16.288+00;JOG - Manual
G352-2114;2020-08-27 12:44:48.869+00;Automatic
G352-2114;2020-08-27 12:44:49.978+00;JOG - Manual
G352-2114;2020-08-27 12:45:00.334+00;Automatic
G352-2114;2020-08-27 14:22:46.902+00;JOG - Manual
G352-2114;2020-08-27 14:24:39.208+00;Automatic
G352-2114;2020-08-27 14:25:33.975+00;JOG - Manual
G352-2114;2020-08-27 14:26:51.921+00;Automatic
G352-2114;2020-08-27 14:27:58.255+00;JOG - Manual
G352-2114;2020-08-27 14:29:08.306+00;Automatic
G352-2114;2020-08-28 08:44:09.911+00;JOG - Manual
G352-2114;2020-08-28 08:44:20.471+00;Automatic
G352-2114;2020-08-28 09:10:45.354+00;JOG - Manual
G352-2114;2020-08-28 09:13:34.188+00;Automatic
G352-2114;2020-08-28 09:19:00.326+00;JOG - Manual
G352-2114;2020-08-28 09:20:03.167+00;Automatic
G352-2114;2020-08-28 09:20:46.928+00;JOG - Manual
G352-2114;2020-08-28 09:20:58.934+00;Automatic
G352-2114;2020-08-28 09:21:51.598+00;JOG - Manual
G352-2114;2020-08-28 09:22:01.017+00;Automatic
G352-2114;2020-08-28 09:39:08.935+00;JOG - Manual
G352-2114;2020-08-28 09:42:11.666+00;Automatic
G352-2114;2020-08-28 09:42:40.198+00;JOG - Manual
G352-2114;2020-08-28 09:53:56.893+00;Automatic
G352-2114;2020-08-28 09:58:11.665+00;JOG - Manual
G352-2114;2020-08-28 09:58:38.163+00;Automatic
G352-2114;2020-08-28 10:46:00.179+00;JOG - Manual
G352-2114;2020-08-28 10:49:00.492+00;Automatic
G352-2114;2020-08-29 07:00:44.969+00;JOG - Manual
G352-2114;2020-08-29 07:01:54.774+00;Automatic
G352-2114;2020-08-31 07:34:42.103+00;JOG - Manual
G352-2114;2020-08-31 07:34:56.609+00;Automatic
G352-2114;2020-08-31 07:47:12.56+00;JOG - Manual
G352-2114;2020-08-31 07:47:21.043+00;Automatic
G352-2114;2020-08-31 14:32:21.551+00;JOG - Manual
G352-2114;2020-08-31 14:37:42.685+00;Automatic
G352-2114;2020-08-31 14:39:06.557+00;JOG - Manual
G352-2114;2020-08-31 14:39:39.648+00;Automatic
G352-2125;2020-05-30 06:47:13.745+00;JOG - Manual
G352-2125;2020-05-30 07:02:49.856+00;Automatic
G352-2125;2020-05-30 07:02:56.403+00;JOG - Manual
G352-2125;2020-05-30 07:03:27.436+00;Automatic
G352-2125;2020-05-30 07:06:52.785+00;JOG - Manual
G352-2125;2020-05-30 07:06:59.098+00;Automatic
G352-2125;2020-05-30 15:00:11.533+00;JOG - Manual
G352-2125;2020-05-30 15:16:53.894+00;Automatic
G352-2125;2020-05-31 08:32:33.013+00;JOG - Manual
G352-2125;2020-05-31 08:43:08.759+00;Automatic
G352-2125;2020-05-31 08:43:09.649+00;JOG - Manual
G352-2125;2020-05-31 08:43:23.759+00;Automatic
G352-2125;2020-05-31 13:22:24.509+00;JOG - Manual
G352-2125;2020-05-31 13:34:03.08+00;Automatic
G352-2125;2020-06-02 02:58:14.49+00;JOG - Manual
G352-2125;2020-06-02 02:58:26.865+00;Automatic
G352-2125;2020-06-02 03:07:44.704+00;JOG - Manual
G352-2125;2020-06-02 03:35:33.841+00;Automatic
G352-2125;2020-06-02 03:35:36.044+00;JOG - Manual
G352-2125;2020-06-02 03:35:44.966+00;Automatic
G352-2125;2020-06-02 04:04:13.3+00;JOG - Manual
G352-2125;2020-06-02 04:27:50.659+00;Automatic
G352-2125;2020-06-02 05:49:58.717+00;JOG - Manual
G352-2125;2020-06-02 05:50:10.748+00;Automatic
G352-2125;2020-06-02 06:02:06.275+00;JOG - Manual
G352-2125;2020-06-02 06:02:33.025+00;Automatic
G352-2125;2020-06-02 06:21:44.772+00;JOG - Manual
G352-2125;2020-06-02 06:37:19.27+00;Automatic
G352-2125;2020-06-02 07:15:24.815+00;JOG - Manual
G352-2125;2020-06-02 07:31:01.614+00;Automatic
G352-2125;2020-06-02 07:54:03.593+00;JOG - Manual
G352-2125;2020-06-02 07:59:04.416+00;Automatic
G352-2125;2020-06-02 08:27:07.967+00;JOG - Manual
G352-2125;2020-06-02 08:31:41.843+00;Automatic
G352-2125;2020-06-02 09:06:48.03+00;JOG - Manual
G352-2125;2020-06-02 09:12:07.958+00;Automatic
G352-2125;2020-06-02 09:33:03.882+00;JOG - Manual
G352-2125;2020-06-02 12:33:43.561+00;Automatic
G352-2125;2020-06-02 12:33:45.42+00;MDA/MDI
G352-2125;2020-06-02 12:34:12.936+00;JOG - Manual
G352-2125;2020-06-02 12:44:50.131+00;Automatic
G352-2125;2020-06-02 12:45:55.288+00;JOG - Manual
G352-2125;2020-06-02 12:46:09.413+00;Automatic
G352-2125;2020-06-02 12:46:15.538+00;JOG - Manual
G352-2125;2020-06-02 12:46:53.617+00;Automatic
G352-2125;2020-06-02 17:43:14.151+00;JOG - Manual
G352-2125;2020-06-02 17:53:26.44+00;Automatic
G352-2125;2020-06-02 17:54:41.392+00;JOG - Manual
G352-2125;2020-06-02 17:54:48.923+00;Automatic
G352-2125;2020-06-02 17:55:55.461+00;JOG - Manual
G352-2125;2020-06-02 17:56:00.383+00;Automatic
G352-2125;2020-06-02 18:31:41.628+00;JOG - Manual
G352-2125;2020-06-02 18:40:02.997+00;Automatic
G352-2125;2020-06-02 18:55:26.215+00;JOG - Manual
G352-2125;2020-06-02 18:55:49.293+00;Automatic
G352-2125;2020-06-02 18:56:47.387+00;JOG - Manual
G352-2125;2020-06-02 18:56:58.293+00;Automatic
G352-2125;2020-06-02 19:15:49.286+00;JOG - Manual
G352-2125;2020-06-02 19:16:34.068+00;Automatic
G352-2125;2020-06-02 19:32:27.298+00;JOG - Manual
G352-2125;2020-06-02 19:32:32.298+00;Automatic
G352-2125;2020-06-02 19:55:53.077+00;JOG - Manual
G352-2125;2020-06-03 02:48:12.883+00;Automatic
G352-2125;2020-06-03 02:48:19.617+00;JOG - Manual
G352-2125;2020-06-03 03:13:00.732+00;Automatic
G352-2125;2020-06-03 05:00:56.526+00;JOG - Manual
G352-2125;2020-06-03 05:09:44.539+00;Automatic
G352-2125;2020-06-03 05:10:08.621+00;JOG - Manual
G352-2125;2020-06-03 05:10:32.199+00;MDA/MDI
G352-2125;2020-06-03 05:11:12.09+00;JOG - Manual
G352-2125;2020-06-03 05:26:13.735+00;Automatic
G352-2125;2020-06-03 05:27:57.923+00;JOG - Manual
G352-2125;2020-06-03 05:28:40.204+00;Automatic
G352-2125;2020-06-03 05:35:29.584+00;JOG - Manual
G352-2125;2020-06-03 05:35:43.693+00;Automatic
G352-2125;2020-06-03 05:39:47.805+00;JOG - Manual
G352-2125;2020-06-03 05:40:12.227+00;Automatic
G352-2125;2020-06-03 08:41:55.883+00;JOG - Manual
G352-2125;2020-06-03 08:56:47.473+00;Automatic
G352-2125;2020-06-03 13:59:10.381+00;JOG - Manual
G352-2125;2020-06-03 13:59:41.029+00;Automatic
G352-2125;2020-06-03 14:00:13.7+00;JOG - Manual
G352-2125;2020-06-03 14:29:08.158+00;Automatic
G352-2125;2020-06-03 15:25:25.558+00;JOG - Manual
G352-2125;2020-06-03 15:31:47.612+00;Automatic
G352-2125;2020-06-03 19:49:03.714+00;JOG - Manual
G352-2125;2020-06-03 19:50:58.621+00;Automatic
G352-2125;2020-06-03 19:51:09.84+00;JOG - Manual
G352-2125;2020-06-03 19:58:28.505+00;Automatic
G352-2125;2020-06-03 19:58:38.599+00;JOG - Manual
G352-2125;2020-06-03 19:58:49.88+00;Automatic
G352-2125;2020-06-03 19:58:53.146+00;JOG - Manual
G352-2125;2020-06-03 20:05:19.437+00;Automatic
G352-2125;2020-06-03 20:05:34.733+00;MDA/MDI
G352-2125;2020-06-03 20:05:54.499+00;JOG - Manual
G352-2125;2020-06-03 20:07:10.531+00;Automatic
G352-2125;2020-06-03 20:11:45.813+00;JOG - Manual
G352-2125;2020-06-03 20:22:48.941+00;Automatic
G352-2125;2020-06-04 05:43:20.214+00;JOG - Manual
G352-2125;2020-06-04 05:53:18.253+00;Automatic
G352-2125;2020-06-04 05:56:27.332+00;JOG - Manual
G352-2125;2020-06-04 06:01:41.702+00;Automatic
G352-2125;2020-06-04 10:40:11.438+00;JOG - Manual
G352-2125;2020-06-04 10:45:22.588+00;Automatic
G352-2125;2020-06-04 10:46:48.122+00;JOG - Manual
G352-2125;2020-06-04 10:47:07.997+00;Automatic
G352-2125;2020-06-04 10:48:50.607+00;JOG - Manual
G352-2125;2020-06-04 11:15:16.193+00;Automatic
G352-2125;2020-06-04 11:20:16.105+00;JOG - Manual
G352-2125;2020-06-08 05:08:57.952+00;Automatic
G352-2125;2020-06-08 05:24:16.032+00;JOG - Manual
G352-2125;2020-06-08 05:24:22.454+00;Automatic
G352-2125;2020-06-08 05:25:22.643+00;JOG - Manual
G352-2125;2020-06-08 05:29:14.275+00;Automatic
G352-2125;2020-06-08 05:29:37.541+00;JOG - Manual
G352-2125;2020-06-08 05:33:25.984+00;Automatic
G352-2125;2020-06-08 05:33:31.296+00;JOG - Manual
G352-2125;2020-06-08 05:33:54.436+00;Automatic
G352-2125;2020-06-08 09:09:43.271+00;JOG - Manual
G352-2125;2020-06-08 09:09:59.849+00;Automatic
G352-2125;2020-06-08 09:24:07.955+00;JOG - Manual
G352-2125;2020-06-08 09:31:17.48+00;Automatic
G352-2125;2020-06-08 09:31:37.355+00;JOG - Manual
G352-2125;2020-06-08 09:32:01.167+00;Automatic
G352-2125;2020-06-08 14:16:42.514+00;JOG - Manual
G352-2125;2020-06-09 04:02:15.402+00;Automatic
G352-2125;2020-06-09 04:05:38.892+00;JOG - Manual
G352-2125;2020-06-09 04:05:56.704+00;MDA/MDI
G352-2125;2020-06-09 04:06:15.36+00;JOG - Manual
G352-2125;2020-06-09 04:06:19.017+00;Automatic
G352-2125;2020-06-09 04:07:10.454+00;JOG - Manual
G352-2125;2020-06-09 04:09:11.408+00;MDA/MDI
G352-2125;2020-06-09 06:15:50.937+00;Automatic
G352-2125;2020-06-09 06:17:00.742+00;JOG - Manual
G352-2125;2020-06-09 06:17:51.557+00;MDA/MDI
G352-2125;2020-06-09 06:18:25.854+00;JOG - Manual
G352-2125;2020-06-09 06:30:50.166+00;Automatic
G352-2125;2020-06-09 06:33:50.047+00;JOG - Manual
G352-2125;2020-06-09 06:36:14.112+00;Automatic
G352-2125;2020-06-09 06:41:26.584+00;JOG - Manual
G352-2125;2020-06-09 06:42:34.865+00;Automatic
G352-2125;2020-06-09 08:52:09.181+00;MDA/MDI
G352-2125;2020-06-09 09:26:16.593+00;Automatic
G352-2125;2020-06-09 09:27:05.603+00;JOG - Manual
G352-2125;2020-06-09 09:30:10.924+00;MDA/MDI
G352-2125;2020-06-09 09:30:37.066+00;JOG - Manual
G352-2125;2020-06-09 09:43:22.082+00;Automatic
G352-2125;2020-06-09 09:43:40.472+00;JOG - Manual
G352-2125;2020-06-09 09:43:56.957+00;Automatic
G352-2125;2020-06-09 09:55:11.2+00;JOG - Manual
G352-2125;2020-06-09 09:56:03.622+00;Automatic
G352-2125;2020-06-09 11:14:58.946+00;JOG - Manual
G352-2125;2020-06-09 11:16:17.324+00;Automatic
G352-2125;2020-06-09 11:20:10.438+00;JOG - Manual
G352-2125;2020-06-09 11:35:54.586+00;Automatic
G352-2125;2020-06-09 11:45:21.827+00;JOG - Manual
G352-2125;2020-06-09 11:45:34.476+00;Automatic
G352-2125;2020-06-09 12:12:11.127+00;JOG - Manual
G352-2125;2020-06-09 12:47:06.441+00;Automatic
G352-2125;2020-06-09 12:47:23.378+00;JOG - Manual
G352-2125;2020-06-09 12:47:31.05+00;Automatic
G352-2125;2020-06-09 13:11:37.581+00;JOG - Manual
G352-2125;2020-06-09 13:12:03.581+00;Automatic
G352-2125;2020-06-09 13:38:34.018+00;JOG - Manual
G352-2125;2020-06-09 13:49:23.134+00;Automatic
G352-2125;2020-06-09 14:17:40.166+00;JOG - Manual
G352-2125;2020-06-09 14:18:04.229+00;Automatic
G352-2125;2020-06-09 14:39:33.75+00;JOG - Manual
G352-2125;2020-06-09 14:42:14.702+00;Automatic
G352-2125;2020-06-09 14:42:27.375+00;JOG - Manual
G352-2125;2020-06-09 14:42:36.999+00;Automatic
G352-2125;2020-06-09 14:43:05.938+00;JOG - Manual
G352-2125;2020-06-09 14:48:43.081+00;Automatic
G352-2125;2020-06-10 05:21:38.381+00;JOG - Manual
G352-2125;2020-06-10 05:23:18.743+00;MDA/MDI
G352-2125;2020-06-10 05:23:28.368+00;JOG - Manual
G352-2125;2020-06-10 05:49:08.102+00;Automatic
G352-2125;2020-06-10 05:50:20.681+00;JOG - Manual
G352-2125;2020-06-10 05:51:06.824+00;Automatic
G352-2125;2020-06-10 06:12:28.513+00;JOG - Manual
G352-2125;2020-06-10 06:45:50.678+00;Automatic
G352-2125;2020-06-10 06:45:57.053+00;JOG - Manual
G352-2125;2020-06-10 06:46:15.397+00;Automatic
G352-2125;2020-06-10 06:52:35.727+00;JOG - Manual
G352-2125;2020-06-10 07:29:09.697+00;Automatic
G352-2125;2020-06-10 07:47:11.81+00;JOG - Manual
G352-2125;2020-06-10 08:03:19.766+00;Automatic
G352-2125;2020-06-10 08:27:49.202+00;JOG - Manual
G352-2125;2020-06-10 08:46:03.706+00;Automatic
G352-2125;2020-06-10 09:11:34.744+00;JOG - Manual
G352-2125;2020-06-10 09:24:59.766+00;Automatic
G352-2125;2020-06-10 09:39:55.468+00;JOG - Manual
G352-2125;2020-06-10 09:47:19.366+00;Automatic
G352-2125;2020-06-10 11:01:56.595+00;JOG - Manual
G352-2125;2020-06-10 11:08:45.796+00;Automatic
G352-2125;2020-06-10 11:22:13.457+00;JOG - Manual
G352-2125;2020-06-10 11:24:11.253+00;Automatic
G352-2125;2020-06-10 11:37:55.214+00;JOG - Manual
G352-2125;2020-06-10 11:39:55.292+00;Automatic
G352-2125;2020-06-10 12:33:50.019+00;JOG - Manual
G352-2125;2020-06-10 12:42:19.348+00;Automatic
G352-2125;2020-06-10 13:13:01.688+00;JOG - Manual
G352-2125;2020-06-10 13:28:13.023+00;Automatic
G352-2125;2020-06-10 13:35:06.139+00;JOG - Manual
G352-2125;2020-06-10 13:36:11.24+00;Automatic
G352-2125;2020-06-10 13:39:31.9+00;JOG - Manual
G352-2125;2020-06-10 13:45:55.808+00;Automatic
G352-2125;2020-06-10 13:56:30.091+00;JOG - Manual
G352-2125;2020-06-10 14:04:14.519+00;Automatic
G352-2125;2020-06-10 14:15:28.628+00;JOG - Manual
G352-2125;2020-06-10 14:25:07.214+00;Automatic
G352-2125;2020-06-10 14:25:14.558+00;JOG - Manual
G352-2125;2020-06-10 14:25:32.558+00;Automatic
G352-2125;2020-06-10 14:36:33.582+00;JOG - Manual
G352-2125;2020-06-10 14:43:11.47+00;Automatic
G352-2125;2020-06-10 15:07:15.526+00;JOG - Manual
G352-2125;2020-06-10 15:07:21.87+00;Automatic
G352-2125;2020-06-10 15:07:26.823+00;JOG - Manual
G352-2125;2020-06-10 15:07:30.605+00;Automatic
G352-2125;2020-06-10 15:09:19.013+00;MDA/MDI
G352-2125;2020-06-10 15:09:27.935+00;JOG - Manual
G352-2125;2020-06-15 04:13:56.451+00;Automatic
G352-2125;2020-06-15 06:44:02.074+00;MDA/MDI
G352-2125;2020-06-15 06:47:16.703+00;Automatic
G352-2125;2020-06-15 11:37:54.814+00;MDA/MDI
G352-2125;2020-06-15 11:38:15.376+00;Automatic
G352-2125;2020-06-15 11:38:30.61+00;MDA/MDI
G352-2125;2020-06-15 11:47:08.841+00;Automatic
G352-2125;2020-06-15 11:48:17.623+00;JOG - Manual
G352-2125;2020-06-15 11:49:02.014+00;Automatic
G352-2125;2020-06-15 12:02:35.866+00;JOG - Manual
G352-2125;2020-06-15 12:05:10.603+00;Automatic
G352-2125;2020-06-15 12:45:47.741+00;JOG - Manual
G352-2125;2020-06-15 13:21:02.636+00;Automatic
G352-2125;2020-06-16 04:54:46.45+00;JOG - Manual
G352-2125;2020-06-16 04:54:49.7+00;Automatic
G352-2125;2020-06-16 05:15:07.933+00;JOG - Manual
G352-2125;2020-06-16 05:15:45.575+00;Automatic
G352-2125;2020-06-16 05:22:12.256+00;JOG - Manual
G352-2125;2020-06-16 05:25:12.149+00;Automatic
G352-2125;2020-06-16 05:31:31.296+00;JOG - Manual
G352-2125;2020-06-16 05:40:13.978+00;Automatic
G352-2125;2020-06-16 05:41:34.431+00;JOG - Manual
G352-2125;2020-06-16 05:41:40.884+00;Automatic
G352-2125;2020-06-16 05:46:23.7+00;JOG - Manual
G352-2125;2020-06-16 05:47:23.862+00;Automatic
G352-2125;2020-06-16 05:48:39.987+00;JOG - Manual
G352-2125;2020-06-16 05:49:40.174+00;Automatic
G352-2125;2020-06-16 05:52:58.706+00;JOG - Manual
G352-2125;2020-06-16 05:54:46.894+00;Automatic
G352-2125;2020-06-16 05:55:03.972+00;JOG - Manual
G352-2125;2020-06-16 05:55:07.206+00;Automatic
G352-2125;2020-06-16 06:10:00.166+00;JOG - Manual
G352-2125;2020-06-16 06:10:06.838+00;Automatic
G352-2125;2020-06-16 06:17:55.957+00;JOG - Manual
G352-2125;2020-06-16 06:18:08.395+00;MDA/MDI
G352-2125;2020-06-16 06:18:43.895+00;JOG - Manual
G352-2125;2020-06-16 06:29:23.064+00;Automatic
G352-2125;2020-06-16 06:31:27.389+00;JOG - Manual
G352-2125;2020-06-16 06:32:58.998+00;Automatic
G352-2125;2020-06-16 06:34:24.342+00;JOG - Manual
G352-2125;2020-06-16 06:35:40.081+00;Automatic
G352-2125;2020-06-16 06:51:19.06+00;JOG - Manual
G352-2125;2020-06-16 06:51:21.779+00;Automatic
G352-2125;2020-06-16 06:52:04.326+00;JOG - Manual
G352-2125;2020-06-16 06:52:47.435+00;Automatic
G352-2125;2020-06-16 13:13:59.465+00;JOG - Manual
G352-2125;2020-06-22 04:26:04.274+00;Automatic
G352-2125;2020-06-22 05:08:33.31+00;MDA/MDI
G352-2125;2020-06-22 05:26:40.296+00;Automatic
G352-2125;2020-06-22 05:28:26.835+00;JOG - Manual
G352-2125;2020-06-22 05:28:42.788+00;Automatic
G352-2125;2020-06-22 05:32:51.074+00;JOG - Manual
G352-2125;2020-06-22 05:34:22.652+00;Automatic
G352-2125;2020-06-22 05:34:26.184+00;JOG - Manual
G352-2125;2020-06-22 05:35:02.966+00;Automatic
G352-2125;2020-06-22 05:36:09.701+00;JOG - Manual
G352-2125;2020-06-22 05:42:15.377+00;Automatic
G352-2125;2020-06-22 05:42:50.583+00;JOG - Manual
G352-2125;2020-06-22 05:42:57.27+00;Automatic
G352-2125;2020-06-22 06:09:48.102+00;JOG - Manual
G352-2125;2020-06-22 06:10:13.245+00;Automatic
G352-2125;2020-06-22 11:04:39.508+00;JOG - Manual
G352-2125;2020-06-22 11:15:00.646+00;Automatic
G352-2125;2020-06-22 11:15:35.178+00;JOG - Manual
G352-2125;2020-06-22 11:16:47.693+00;MDA/MDI
G352-2125;2020-06-22 11:17:07.475+00;JOG - Manual
G352-2125;2020-06-22 11:20:05.725+00;Automatic
G352-2125;2020-06-22 11:23:01.195+00;JOG - Manual
G352-2125;2020-06-22 11:30:54.68+00;Automatic
G352-2125;2020-06-22 11:30:59.743+00;JOG - Manual
G352-2125;2020-06-22 11:31:06.93+00;Automatic
G352-2125;2020-06-22 11:31:59.622+00;JOG - Manual
G352-2125;2020-06-22 11:37:32.443+00;Automatic
G352-2125;2020-06-22 11:45:58.339+00;JOG - Manual
G352-2125;2020-06-22 11:57:25.537+00;Automatic
G352-2125;2020-06-22 12:18:25.643+00;JOG - Manual
G352-2125;2020-06-22 12:24:15.08+00;Automatic
G352-2125;2020-06-22 12:27:54.431+00;JOG - Manual
G352-2125;2020-06-22 12:36:59.297+00;Automatic
G352-2125;2020-06-22 12:40:06.578+00;JOG - Manual
G352-2125;2020-06-22 12:40:36.265+00;Automatic
G352-2125;2020-06-22 12:59:27.911+00;JOG - Manual
G352-2125;2020-06-22 12:59:46.942+00;Automatic
G352-2125;2020-06-22 13:01:28.614+00;JOG - Manual
G352-2125;2020-06-22 13:04:17.446+00;Automatic
G352-2125;2020-06-22 13:05:36.743+00;JOG - Manual
G352-2125;2020-06-22 13:09:07.548+00;Automatic
G352-2125;2020-06-22 16:51:07.297+00;JOG - Manual
G352-2125;2020-06-22 16:51:23.925+00;Automatic
G352-2125;2020-06-22 16:54:52.412+00;JOG - Manual
G352-2125;2020-06-22 16:55:01.755+00;Automatic
G352-2125;2020-06-23 04:43:44.556+00;JOG - Manual
G352-2125;2020-06-23 04:44:03.884+00;Automatic
G352-2125;2020-06-23 05:47:07.384+00;JOG - Manual
G352-2125;2020-06-23 05:47:27.118+00;Automatic
G352-2125;2020-06-23 06:22:39.365+00;JOG - Manual
G352-2125;2020-06-23 06:25:39.868+00;Automatic
G352-2125;2020-06-23 07:18:27.951+00;JOG - Manual
G352-2125;2020-06-23 07:19:40.61+00;Automatic
G352-2125;2020-06-23 08:56:07.336+00;JOG - Manual
G352-2125;2020-06-23 09:04:11.77+00;Automatic
G352-2125;2020-06-23 09:11:13.069+00;JOG - Manual
G352-2125;2020-06-23 09:13:58.055+00;Automatic
G352-2125;2020-06-24 03:54:33.294+00;JOG - Manual
G352-2125;2020-06-24 03:55:10.093+00;MDA/MDI
G352-2125;2020-06-24 03:55:24.061+00;JOG - Manual
G352-2125;2020-06-24 04:50:03.136+00;Automatic
G352-2125;2020-06-24 04:50:06.433+00;JOG - Manual
G352-2125;2020-06-24 05:29:44.699+00;Automatic
G352-2125;2020-06-24 05:49:27.951+00;JOG - Manual
G352-2125;2020-06-24 05:50:51.514+00;Automatic
G352-2125;2020-06-24 11:15:47.063+00;JOG - Manual
G352-2125;2020-06-24 11:16:16.048+00;Automatic
G352-2125;2020-06-24 11:37:17.412+00;JOG - Manual
G352-2125;2020-06-24 11:42:07.759+00;Automatic
G352-2125;2020-06-24 11:43:54.871+00;JOG - Manual
G352-2125;2020-06-24 11:51:22.373+00;Automatic
G352-2125;2020-06-24 11:51:25.217+00;JOG - Manual
G352-2125;2020-06-24 11:51:42.248+00;Automatic
G352-2125;2020-06-24 11:53:05.686+00;JOG - Manual
