27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:35.6560000; 
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:35.6560000; 01.02.2020 00:34:35.8600000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:35.6640000; 01.02.2020 00:34:35.8680000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:35.6640000; 01.02.2020 00:34:35.8680000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:35.6660000; 01.02.2020 00:34:35.8700000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:35.6660000; 01.02.2020 00:34:35.8700000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.02.2020 00:34:35.6520000; 01.02.2020 00:34:36.7080000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.02.2020 00:34:35.6520000; 01.02.2020 00:34:36.7240000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.02.2020 00:34:35.6530000; 01.02.2020 00:34:36.8170000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.02.2020 00:34:35.6530000; 01.02.2020 00:34:36.8320000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.02.2020 00:34:35.6530000; 01.02.2020 00:34:36.8490000
