700316; Interruttore di protezione OK <arresto immediato> (=520C-QA1:14) manca; sinumerik_alarm_plc_pmc; 03.06.2020 09:31:17.4830000; 
700438; Idraulica: pressione non raggiunta (=110FC2-BP1:4) manca; sinumerik_alarm_plc_pmc; 03.06.2020 09:31:20.7450000; 03.06.2020 09:52:44.8780000
700316; Interruttore di protezione OK <arresto immediato> (=520C-QA1:14) manca; sinumerik_alarm_plc_pmc; 03.06.2020 09:53:44.1720000; 03.06.2020 15:28:27.3970000
700438; Idraulica: pressione non raggiunta (=110FC2-BP1:4) manca; sinumerik_alarm_plc_pmc; 03.06.2020 09:53:46.0030000; 03.06.2020 15:28:27.3970000
700438; Idraulica: pressione non raggiunta (=110FC2-BP1:4) manca; sinumerik_alarm_plc_pmc; 03.06.2020 15:28:59.1230000; 03.06.2020 15:29:49.2440000
700316; Interruttore di protezione OK <arresto immediato> (=520C-QA1:14) manca; sinumerik_alarm_plc_pmc; 03.06.2020 15:30:20.4170000; 05.06.2020 08:43:13.1250000
700438; Idraulica: pressione non raggiunta (=110FC2-BP1:4) manca; sinumerik_alarm_plc_pmc; 03.06.2020 15:30:22.8620000; 05.06.2020 08:43:13.1250000
700433; Idraulica: livello olio serbatoio minimo (=110FC2-GP1-BL1:10) manca; sinumerik_alarm_plc_pmc; 05.06.2020 07:25:51.9280000; 05.06.2020 08:43:13.1250000
700441; Idraulica: temperatura olio allarme (=110FC2-GP1-BT1:9); sinumerik_alarm_plc_pmc; 05.06.2020 07:44:51.5540000; 05.06.2020 08:43:13.1250000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 08:44:00.3920000; 05.06.2020 08:44:00.5960000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 08:44:00.3920000; 05.06.2020 08:44:00.5960000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 08:44:00.4000000; 05.06.2020 08:44:00.6040000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 05.06.2020 08:44:00.4000000; 05.06.2020 08:44:00.6040000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 08:44:00.4020000; 05.06.2020 08:44:00.6060000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 08:44:00.4020000; 05.06.2020 08:44:00.6060000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 08:44:00.3890000; 05.06.2020 08:44:01.4740000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 08:44:00.3890000; 05.06.2020 08:44:01.4900000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 08:44:00.3900000; 05.06.2020 08:44:01.5740000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 08:44:00.3900000; 05.06.2020 08:44:01.5900000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 08:44:00.3900000; 05.06.2020 08:44:01.6060000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 08:44:00.3890000; 05.06.2020 08:44:01.6220000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 08:44:00.7660000; 05.06.2020 08:44:00.9700000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 08:44:00.7660000; 05.06.2020 08:44:00.9700000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 08:44:00.7680000; 05.06.2020 08:44:00.9720000
