705544; Not-Halt am Werkzeug-Beladesystem wurde ausgelöst.; sinumerik_alarm_plc_pmc; 08.01.2020 08:55:02.9940000; 
703216; Arbeitsraum: Werkstückdaten vorhanden aber kein Palettenstatus eingetragen; sinumerik_alarm_plc_pmc; 08.01.2020 08:55:03.6520000; 
700905; Profibus DPM1: mindestens ein Device im Strang ausgefallen (siehe Alarmprotokoll); sinumerik_alarm_plc_pmc; 08.01.2020 08:55:25.0600000; 08.01.2020 09:04:14.9600000
909011; DP-Mastersystem(1) Adresse:60 Sammelstörung; ; 08.01.2020 08:55:25.3340000; 08.01.2020 09:02:28.6340000
700119; Neues Log-File erstellt; sinumerik_alarm_plc_pmc; 08.01.2020 08:55:50.4260000; 08.01.2020 08:57:16.1630000
700119; Neues Log-File erstellt; sinumerik_alarm_plc_pmc; 08.01.2020 08:57:19.6120000; 08.01.2020 09:00:54.0840000
700119; Neues Log-File erstellt; sinumerik_alarm_plc_pmc; 08.01.2020 09:00:57.5900000; 08.01.2020 09:04:14.9230000
702124; Keine Palette im Arbeitsraum aber Auflagenkontrolle i.O.; sinumerik_alarm_plc_pmc; 08.01.2020 09:03:21.7420000; 
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 08.01.2020 09:03:31.7810000; 08.01.2020 09:03:31.9850000
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 08.01.2020 09:03:31.7810000; 08.01.2020 09:03:31.9850000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 08.01.2020 09:03:31.7890000; 08.01.2020 09:03:31.9930000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 08.01.2020 09:03:31.7890000; 08.01.2020 09:03:31.9930000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 08.01.2020 09:03:31.7910000; 08.01.2020 09:03:31.9950000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 08.01.2020 09:03:31.7910000; 08.01.2020 09:03:31.9950000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.01.2020 09:03:31.7770000; 08.01.2020 09:03:32.8470000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.01.2020 09:03:31.7770000; 08.01.2020 09:03:32.8820000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.01.2020 09:03:31.7760000; 08.01.2020 09:03:32.9660000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.01.2020 09:03:31.7760000; 08.01.2020 09:03:32.9820000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.01.2020 09:03:31.7760000; 08.01.2020 09:03:32.9980000
201798; Achse SP1 DRV_3.3:7 (18), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.01.2020 09:03:31.7760000; 08.01.2020 09:03:33.0220000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 08.01.2020 09:03:32.1550000; 08.01.2020 09:03:32.3590000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 08.01.2020 09:03:32.1550000; 08.01.2020 09:03:32.3590000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 08.01.2020 09:03:32.1570000; 08.01.2020 09:03:32.3610000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 08.01.2020 09:03:32.1570000; 08.01.2020 09:03:32.3610000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 08.01.2020 09:03:32.1590000; 08.01.2020 09:03:32.3630000
