27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:02:53.2540000; 
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:02:53.2540000; 01.04.2020 06:02:53.4580000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:02:53.2620000; 01.04.2020 06:02:53.4660000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:02:53.2620000; 01.04.2020 06:02:53.4660000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:02:53.2640000; 01.04.2020 06:02:53.4680000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:02:53.2640000; 01.04.2020 06:02:53.4680000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:02:53.2500000; 01.04.2020 06:02:54.3120000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:02:53.2500000; 01.04.2020 06:02:54.3270000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:02:53.2490000; 01.04.2020 06:02:54.4310000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:02:53.2490000; 01.04.2020 06:02:54.4470000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:02:53.2490000; 01.04.2020 06:02:54.4630000
201798; Achse SP1 DRV_3.3:7 (18), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:02:53.2490000; 01.04.2020 06:02:54.4800000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:02:53.6160000; 01.04.2020 06:02:53.8200000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:02:53.6160000; 01.04.2020 06:02:53.8200000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:02:53.6180000; 01.04.2020 06:02:53.8220000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:02:53.6180000; 01.04.2020 06:02:53.8220000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:02:53.6200000; 01.04.2020 06:02:53.8240000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:02:53.6200000; 01.04.2020 06:02:53.8240000
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:02:53.6090000; 01.04.2020 06:02:54.7550000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:02:53.6090000; 01.04.2020 06:02:54.7710000
201798; Achse ES1_ DRV_3.15:6 (26), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:02:53.6090000; 01.04.2020 06:02:54.7870000
201798; Achse E_1_ DRV_3.15:5 (28), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:02:53.6090000; 01.04.2020 06:02:54.8040000
201798; Achse ZM1_ DRV_3.15:3 (30), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:02:53.6090000; 01.04.2020 06:02:54.8200000
701048; A-Achse: Klemmung entblockt Druck (=1505FC2-BP1:2) fehlt; sinumerik_alarm_plc_pmc; 01.04.2020 06:11:48.8420000; 
; ----- Start Alarmerfassung -----; ; 01.04.2020 06:22:04.6520000; 01.04.2020 06:22:04.6520000
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:52.7840000
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:52.7840000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.5880000; 01.04.2020 06:22:52.7920000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.5880000; 01.04.2020 06:22:52.7920000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.5900000; 01.04.2020 06:22:52.7940000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.5900000; 01.04.2020 06:22:52.7940000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:53.6290000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:53.6460000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:53.7410000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:53.7570000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:53.7730000
201798; Achse SP1 DRV_3.3:7 (18), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:53.7890000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.9420000; 01.04.2020 06:22:53.1460000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.9420000; 01.04.2020 06:22:53.1460000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.9440000; 01.04.2020 06:22:53.1480000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.9440000; 01.04.2020 06:22:53.1480000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.9460000; 01.04.2020 06:22:53.1500000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.9460000; 01.04.2020 06:22:53.1500000
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.9370000; 01.04.2020 06:22:54.0810000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.9370000; 01.04.2020 06:22:54.0970000
201798; Achse ES1_ DRV_3.15:6 (26), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.9370000; 01.04.2020 06:22:54.1130000
201798; Achse E_1_ DRV_3.15:5 (28), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.9370000; 01.04.2020 06:22:54.1290000
201798; Achse ZM1_ DRV_3.15:3 (30), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.9370000; 01.04.2020 06:22:54.1450000
16927; Kanal 2: Aktion 'Wechsel in Handbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:17:53.8410000; 01.04.2020 07:17:56.7150000
