27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.2100000; 
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.2100000; 04.05.2020 06:02:58.4140000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.2180000; 04.05.2020 06:02:58.4220000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.2180000; 04.05.2020 06:02:58.4220000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.2200000; 04.05.2020 06:02:58.4240000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.2200000; 04.05.2020 06:02:58.4240000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:02:58.2050000; 04.05.2020 06:02:59.2650000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:02:58.2050000; 04.05.2020 06:02:59.2810000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:02:58.2060000; 04.05.2020 06:02:59.3990000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:02:58.2060000; 04.05.2020 06:02:59.4150000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:02:58.2060000; 04.05.2020 06:02:59.4880000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.5840000; 04.05.2020 06:02:58.7880000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.5840000; 04.05.2020 06:02:58.7880000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.5860000; 04.05.2020 06:02:58.7900000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.5860000; 04.05.2020 06:02:58.7900000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.5880000; 04.05.2020 06:02:58.7920000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.5880000; 04.05.2020 06:02:58.7920000
