120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 00:38:24.4820000; 
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 00:49:41.1200000; 01.09.2020 00:49:44.6340000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 00:51:50.5590000; 01.09.2020 00:51:52.4240000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 00:52:34.1460000; 01.09.2020 00:52:36.2870000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 00:53:18.0250000; 01.09.2020 00:53:22.5230000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 00:56:18.0050000; 01.09.2020 00:56:20.3530000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 00:57:42.0180000; 01.09.2020 00:57:44.6140000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 02:56:36.4960000; 01.09.2020 02:56:38.6170000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 02:57:04.7410000; 01.09.2020 02:57:06.5780000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 04:46:11.5010000; 01.09.2020 04:46:12.8530000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 04:57:09.3890000; 01.09.2020 04:57:12.9140000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 04:59:18.8050000; 01.09.2020 04:59:20.5990000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 05:00:02.2940000; 01.09.2020 05:00:04.3680000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 05:00:46.1810000; 01.09.2020 05:00:50.6880000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 05:03:46.1920000; 01.09.2020 05:03:48.5420000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 01.09.2020 05:05:10.9520000; 01.09.2020 05:05:12.8540000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.09.2020 13:54:21.4020000; 01.09.2020 13:54:30.1500000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.09.2020 13:54:23.3960000; 01.09.2020 13:54:24.5410000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.09.2020 13:59:23.6550000; 01.09.2020 13:59:48.3160000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.09.2020 13:59:25.2170000; 01.09.2020 13:59:45.8180000
61302; Kanal 1: Satz N611101: Messtaster - Kollision; sinumerik_alarm_nck; 01.09.2020 14:00:48.0600000; 01.09.2020 14:00:54.6650000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.09.2020 14:03:52.6660000; 01.09.2020 14:04:09.0520000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.09.2020 14:03:54.2210000; 01.09.2020 14:03:57.2270000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.09.2020 14:13:59.8810000; 01.09.2020 14:14:09.4320000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.09.2020 14:14:01.4700000; 01.09.2020 14:14:04.7600000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.09.2020 14:21:41.7630000; 01.09.2020 14:23:26.0930000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.09.2020 14:21:43.1780000; 01.09.2020 14:21:49.6730000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.09.2020 14:53:03.6080000; 01.09.2020 14:53:21.4750000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.09.2020 14:53:05.2120000; 01.09.2020 14:53:09.9500000
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 01.09.2020 18:49:37.7460000; 01.09.2020 18:49:37.9500000
